Scenario,Technique,Repetition,GenerationTime_s,MemoryUsed_bytes,IntersectionCount_V,RoadCount_E,TotalRoadLength,AverageRoadLength,Connectivity_Alpha,Connectivity_Gamma,AverageCircuity,AverageRoadSteepness,Degree_0_Count,Degree_1_Count,Degree_2_Count,Degree_3_Count,Degree_4_Count,Degree_5_Count,Degree_6_Count,Degree_7_Count,Degree_8_Count,Degree_9_Count,Degree_10_Count,Degree_Other_Count,Angle_0_Count,Angle_15_Count,Angle_30_Count,Angle_45_Count,Angle_60_Count,Angle_75_Count,Angle_90_Count,Angle_105_Count,Angle_120_Count,Angle_135_Count,Angle_150_Count,Angle_165_Count
DefaultScenario,AgentBasedRandomWalk,1,0.006380,90112,1107,1106,11302.80,10.22,0.000000,0.333635,8.690903,9.66,0,78,953,76,0,0,0,0,0,0,0,0,0,0,0,0,12,62,74,9,0,0,0,1024
DefaultScenario,AgentBasedRandomWalk,2,0.000690,24576,421,420,4308.01,10.26,0.000000,0.334129,3.579267,10.51,0,31,361,29,0,0,0,0,0,0,0,0,0,0,0,0,4,24,24,6,0,0,0,390
DefaultScenario,AgentBasedRandomWalk,3,0.000649,24576,404,403,4120.48,10.22,0.000000,0.334163,3.572564,9.79,0,25,356,23,0,0,0,0,0,0,0,0,0,0,0,0,3,20,20,5,0,0,0,377
DefaultScenario,AgentBasedRandomWalk,4,0.000500,8192,250,249,2538.99,10.20,0.000000,0.334677,2.356735,9.06,0,16,220,14,0,0,0,0,0,0,0,0,0,0,0,0,1,12,12,3,0,0,0,234
DefaultScenario,AgentBasedRandomWalk,5,0.000599,24576,321,320,3271.86,10.22,0.000000,0.334378,3.063146,9.86,0,23,277,21,0,0,0,0,0,0,0,0,0,0,0,0,3,20,16,3,0,0,0,298
DefaultScenario,AgentBasedRandomWalk,6,0.001279,90112,1074,1073,10981.62,10.23,0.000000,0.333644,8.022005,10.04,0,87,902,85,0,0,0,0,0,0,0,0,0,0,0,0,6,75,85,9,0,0,0,982
DefaultScenario,AgentBasedRandomWalk,7,0.000392,0,95,94,964.20,10.26,0.000000,0.336918,1.590239,10.56,0,8,81,6,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,0,0,0,87
DefaultScenario,AgentBasedRandomWalk,8,0.000620,24576,334,333,3415.60,10.26,0.000000,0.334337,7.335776,10.60,0,24,288,22,0,0,0,0,0,0,0,0,0,0,0,0,2,22,23,3,0,0,0,304
DefaultScenario,AgentBasedRandomWalk,9,0.001520,90112,1442,1441,14731.84,10.22,0.000000,0.333565,10.043406,9.68,0,95,1254,93,0,0,0,0,0,0,0,0,0,0,0,0,6,80,91,14,0,0,0,1342
DefaultScenario,AgentBasedRandomWalk,10,0.000670,24576,363,362,3706.16,10.24,0.000000,0.334257,2.526857,10.01,0,30,305,28,0,0,0,0,0,0,0,0,0,0,0,0,3,27,30,1,0,0,0,328
DefaultScenario,AgentBasedRandomWalk,11,0.001353,90112,1196,1195,12223.28,10.23,0.000000,0.333613,8.741713,9.83,0,93,1012,91,0,0,0,0,0,0,0,0,0,0,0,0,11,79,75,19,0,0,0,1101
DefaultScenario,AgentBasedRandomWalk,12,0.001044,49152,858,857,8759.57,10.22,0.000000,0.333723,5.858329,9.66,0,57,746,55,0,0,0,0,0,0,0,0,0,0,0,0,7,47,51,8,0,0,0,798
DefaultScenario,AgentBasedRandomWalk,13,0.001796,90112,1679,1678,17173.40,10.23,0.000000,0.333532,8.793351,9.97,0,128,1425,126,0,0,0,0,0,0,0,0,0,0,0,0,13,120,115,22,0,0,0,1533
DefaultScenario,AgentBasedRandomWalk,14,0.000438,0,128,127,1292.32,10.18,0.000000,0.335979,1.751087,8.60,0,9,112,7,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2,0,0,0,119
DefaultScenario,AgentBasedRandomWalk,15,0.001625,90112,1538,1537,15684.58,10.20,0.000000,0.333550,12.808945,9.22,0,106,1328,104,0,0,0,0,0,0,0,0,0,0,0,0,14,87,98,15,0,0,0,1426
DefaultScenario,AgentBasedRandomWalk,16,0.000361,0,83,82,837.51,10.21,0.000000,0.337449,1.379668,10.17,0,6,73,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1,0,0,0,76
DefaultScenario,AgentBasedRandomWalk,17,0.001895,90112,1831,1830,18696.79,10.22,0.000000,0.333516,11.285564,9.53,0,134,1565,132,0,0,0,0,0,0,0,0,0,0,0,0,12,118,121,18,0,0,0,1692
DefaultScenario,AgentBasedRandomWalk,18,0.000694,24576,412,411,4220.36,10.27,0.000000,0.334146,4.041489,10.75,0,42,330,40,0,0,0,0,0,0,0,0,0,0,0,0,3,42,37,2,0,0,0,366
DefaultScenario,AgentBasedRandomWalk,19,0.000506,8192,213,212,2161.25,10.19,0.000000,0.334913,1.975678,9.15,0,19,177,17,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,3,0,0,0,194
DefaultScenario,AgentBasedRandomWalk,20,0.001040,49152,682,681,6967.52,10.23,0.000000,0.333824,4.118726,9.87,0,53,578,51,0,0,0,0,0,0,0,0,0,0,0,0,6,46,52,1,0,0,0,626
DefaultScenario,AgentBasedRandomWalk,21,0.000578,24576,326,325,3323.14,10.23,0.000000,0.334362,3.037214,9.71,0,21,286,19,0,0,0,0,0,0,0,0,0,0,0,0,1,17,13,8,0,0,0,304
DefaultScenario,AgentBasedRandomWalk,22,0.000475,8192,170,169,1730.80,10.24,0.000000,0.335317,2.670426,10.26,0,14,144,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,1,0,0,0,153
DefaultScenario,AgentBasedRandomWalk,23,0.001135,49152,975,974,9974.67,10.24,0.000000,0.333676,7.641769,10.15,0,65,847,63,0,0,0,0,0,0,0,0,0,0,0,0,9,55,58,8,0,0,0,906
DefaultScenario,AgentBasedRandomWalk,24,0.000835,49152,538,537,5504.67,10.25,0.000000,0.333955,7.558043,10.37,0,46,448,44,0,0,0,0,0,0,0,0,0,0,0,0,4,40,40,5,0,0,0,491
DefaultScenario,AgentBasedRandomWalk,25,0.000419,0,121,120,1228.44,10.24,0.000000,0.336134,2.036793,10.02,0,11,101,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,5,2,0,0,0,110
